# InstantJPDict bundled-licence index — GENERATED, do not edit by hand.
#
# Everything the APK bundles that carries a licence: the app itself, its
# Gradle runtime dependencies, the vendored native libraries, the OCR and
# kana models, and the dictionary data derived from upstream corpora.
#
# Regenerate with:  ./gradlew :app:generateLicenseIndex
# Coverage is enforced: :app:verifyLicenseIndex (a preBuild dependency)
# fails when a dependency is added without an entry in app/licenses/maven.tsv.
# Rust crates: tools/gen_rust_license_bundle.py.  Docs: docs/licenses.md.
#
# TAB-separated columns:
#   name | licence label | version | licence text file(s) | notice file | provenance
# Licence text and notice paths are relative to app/src/main/assets/.
# '#' at the start of a line is a comment; blank lines are ignored.
#
# ---- the app and its bundled components (app/licenses/components.tsv) ----------
InstantJPDict (the app itself)	AGPL-3.0-only	-	licenses/texts/agpl-3.0.txt	-	repo LICENSE at the root of InstantJPDict (copied verbatim by the task, so it cannot drift)
org.jetbrains.kotlinx:kotlinx-coroutines-android	Apache-2.0	1.8.1	licenses/texts/apache-2.0.txt	-	POM <licenses> on Maven Central — "The Apache Software License, Version 2.0", checked 2026-09-13
org.jetbrains.kotlinx:kotlinx-coroutines-bom	Apache-2.0	1.8.1	licenses/texts/apache-2.0.txt	-	POM <licenses> on Maven Central — "The Apache Software License, Version 2.0", checked 2026-09-13
org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm	Apache-2.0	1.8.1	licenses/texts/apache-2.0.txt	-	POM <licenses> on Maven Central — "The Apache Software License, Version 2.0", checked 2026-09-13
org.jetbrains.kotlinx:kotlinx-coroutines-core	Apache-2.0	1.8.1	licenses/texts/apache-2.0.txt	-	POM <licenses> on Maven Central — "The Apache Software License, Version 2.0", checked 2026-09-13
org.jetbrains:annotations	Apache-2.0	23.0.0	licenses/texts/apache-2.0.txt	-	POM <licenses> on Maven Central — "The Apache Software License, Version 2.0", checked 2026-09-13
org.jspecify:jspecify	Apache-2.0	1.0.0	licenses/texts/apache-2.0.txt	-	POM <licenses> on Maven Central — "The Apache License, Version 2.0", checked 2026-09-13

# ---- Rust crates compiled into lib/arm64-v8a/libnav_graph_core.so --------------
anstream	MIT OR Apache-2.0	1.0.0	licenses/texts/rust/anstream-LICENSE-APACHE,licenses/texts/rust/anstream-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
anstyle	MIT OR Apache-2.0	1.0.14	licenses/texts/rust/anstream-LICENSE-APACHE,licenses/texts/rust/anstream-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
anstyle-parse	MIT OR Apache-2.0	1.0.0	licenses/texts/rust/anstream-LICENSE-APACHE,licenses/texts/rust/anstream-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
anstyle-query	MIT OR Apache-2.0	1.1.5	licenses/texts/rust/anstream-LICENSE-APACHE,licenses/texts/rust/anstream-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
anyhow	MIT OR Apache-2.0	1.0.103	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
askama	MIT OR Apache-2.0	0.12.1	licenses/texts/rust/askama-LICENSE-APACHE,licenses/texts/rust/askama-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
askama_derive	MIT/Apache-2.0	0.12.5	licenses/texts/rust/askama-LICENSE-APACHE,licenses/texts/rust/askama-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
askama_escape	MIT OR Apache-2.0	0.10.3	licenses/texts/rust/askama-LICENSE-APACHE,licenses/texts/rust/askama-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
askama_parser	MIT OR Apache-2.0	0.2.1	licenses/texts/rust/askama-LICENSE-APACHE,licenses/texts/rust/askama-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
basic-toml	MIT OR Apache-2.0	0.1.10	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
bincode	MIT	1.3.3	licenses/texts/rust/bincode-LICENSE.md	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
bytes	MIT	1.12.1	licenses/texts/rust/bytes-LICENSE	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
camino	MIT OR Apache-2.0	1.2.4	licenses/texts/rust/camino-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
cargo-platform	MIT OR Apache-2.0	0.1.9	licenses/texts/rust/cargo-platform-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
cargo_metadata	MIT	0.15.4	licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
clap	MIT OR Apache-2.0	4.6.1	licenses/texts/rust/anstream-LICENSE-APACHE,licenses/texts/rust/anstream-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
clap_builder	MIT OR Apache-2.0	4.6.0	licenses/texts/rust/anstream-LICENSE-APACHE,licenses/texts/rust/anstream-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
clap_derive	MIT OR Apache-2.0	4.6.1	licenses/texts/rust/anstream-LICENSE-APACHE,licenses/texts/rust/anstream-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
clap_lex	MIT OR Apache-2.0	1.1.0	licenses/texts/rust/anstream-LICENSE-APACHE,licenses/texts/rust/anstream-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
colorchoice	MIT OR Apache-2.0	1.0.5	licenses/texts/rust/anstream-LICENSE-APACHE,licenses/texts/rust/anstream-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
fs-err	MIT/Apache-2.0	2.11.0	licenses/texts/rust/camino-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
glob	MIT OR Apache-2.0	0.3.3	licenses/texts/rust/camino-LICENSE-APACHE,licenses/texts/rust/glob-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
goblin	MIT	0.8.2	licenses/texts/rust/goblin-LICENSE	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
